Tank,TimePoint,Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,ExperimentDate,WaterLocation,ExperimentJD,InitialFinal
C1,0,6/12/19 9:44,0,2.41,0.14,2.61,0.77,5.16,80.33,0,26.32,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.38,0.05,2.71,0.76,5.14,80.42,0.01,26.33,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.35,0.44,2.37,0.73,5.16,80.38,0,26.34,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.16,0.19,2.7,0.78,5.04,80.41,-0.01,26.34,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.35,0.28,2.57,0.74,5.19,80.38,0.01,26.34,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.09,0.01,2.87,0.75,4.97,80.44,0.01,26.35,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.3,0.32,2.45,0.73,5.07,80.37,0,26.34,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.44,0.48,2.32,0.72,5.24,80.37,0,26.37,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.15,0.14,2.66,0.77,4.94,80.31,0.02,26.36,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.21,0.36,2.4,0.72,4.97,80.42,0.02,26.37,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.19,0.18,2.54,0.76,4.91,80.43,-0.01,26.37,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.19,0.06,2.75,0.75,5.01,80.34,0,26.36,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.11,0.02,2.76,0.75,4.88,80.5,0.02,26.36,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.26,0.22,2.6,0.76,5.08,80.33,0.02,26.36,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.19,0.55,2.3,0.73,5.03,80.41,0.01,26.36,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.2,0.27,2.58,0.76,5.06,80.34,0.02,26.37,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.11,0.14,2.7,0.75,4.96,80.4,0.02,26.38,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.19,0.25,2.64,0.76,5.08,80.3,0,26.37,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.07,0.03,3.04,0.74,5.14,80.22,0,26.38,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.18,0.18,2.79,0.78,5.15,80.31,0.01,26.38,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.34,0.33,2.49,0.72,5.16,80.26,-0.01,26.39,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.17,0.19,2.66,0.76,5.03,80.37,0,26.39,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.21,0.26,2.56,0.76,5.03,80.38,0.01,26.38,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,1.94,0.11,2.77,0.73,4.82,80.47,0,26.38,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.24,0.29,2.62,0.76,5.15,80.37,0.01,26.38,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.29,0.17,2.65,0.76,5.11,80.32,0.04,26.4,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.07,0.18,2.64,0.74,4.89,80.61,0,26.39,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.43,0.31,2.51,0.78,5.24,80.35,0,26.39,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.23,0.24,2.74,0.75,5.2,80.29,0,26.39,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.19,0.2,2.66,0.75,5.05,80.47,0.01,26.4,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.23,0,2.83,0.76,5.06,80.37,0.01,26.4,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.09,0.02,2.83,0.77,4.94,80.49,-0.01,26.41,6/12/19,SB15,163,Initial
C1,0,6/12/19 9:44,0,2.22,0.39,2.43,0.71,5.04,80.44,0.03,26.4,6/12/19,SB15,163,Initial
