"term","estimate","std.error","statistic","p.value","conf.low","conf.high","Outcome","Significant","effect_cat","Ref_genotype","Gen_metric"
"1-Heptadecene",-113.824333988449,42.8353741949348,-2.6572508383015,0.0208972823842589,-207.154596847969,-20.4940711289285,"Log Inhibition","Stronger defense","Strong effect","LE19-84","Shared gene ANI"
"Anabaenopeptin",-94.3449863131217,54.9232727857677,-1.71775973149163,0.111511041893896,-214.012517706065,25.3225450798218,"Log Inhibition","No significant effect","Strong effect","LE19-84","Shared gene ANI"
"Cyanobactin (ctg13)",-39.5574479112338,12.6730320542572,-3.1213878211525,0.0088320179262107,-67.1696127418335,-11.945283080634,"Log Inhibition","Stronger defense","Strong effect","LE19-84","Shared gene ANI"
"Lanthipeptide (ctg3)",-75.8154869455808,30.7248514176542,-2.46756236230383,0.0296254456398742,-142.759187403985,-8.87178648717661,"Log Inhibition","Stronger defense","Strong effect","LE19-84","Shared gene ANI"
"Lanthipeptide (ctg83)",-55.3534005949541,12.5767071060784,-4.40126339335686,0.000863477133509565,-82.7556913926448,-27.9511097972634,"Log Inhibition","Stronger defense","Strong effect","LE19-84","Shared gene ANI"
"Novel-T3PKS (ctg30)",-280.580663710409,81.6116448202851,-3.437997902484,0.00491259271153131,-458.397162495091,-102.764164925727,"Log Inhibition","Stronger defense","Strong effect","LE19-84","Shared gene ANI"
"NRPS-like (ctg36)",23.8592016745224,10.7027973198938,2.22924913566047,0.0456724305039695,0.539809560609761,47.1785937884351,"Log Inhibition","Reduced defense","Strong effect","LE19-84","Shared gene ANI"
"Core Genes",633.912456497761,151.865550108768,4.17416890166168,0.00128982882226989,303.025847536307,964.799065459215,"Log Inhibition","Reduced defense","Strong effect","LE19-84","Shared gene ANI"
"Anabaenopeptin",-186.799983238702,47.5195448687216,-3.93101372824085,0.0015069557418003,-288.719270489048,-84.8806959883548,"Unpalatability","Stronger defense","Strong effect","LE19-84","Shared gene ANI"
"Lanthipeptide (ctg3)",-101.688303286725,25.9908101680994,-3.91247147084067,0.00156292424312457,-157.433046943463,-45.9435596299864,"Unpalatability","Stronger defense","Strong effect","LE19-84","Shared gene ANI"
"Lanthipeptide (ctg83)",-76.8257090228694,15.1298575362364,-5.07775495168212,0.000168461214003831,-109.276026056682,-44.3753919890567,"Unpalatability","Stronger defense","Strong effect","LE19-84","Shared gene ANI"
"LAP (ctg5)",-663.43688186851,104.91933446086,-6.32330432972777,1.88044142185137e-05,-888.466473725358,-438.407290011663,"Unpalatability","Stronger defense","Strong effect","LE19-84","Shared gene ANI"
"NRPS-T1PKS (ctg20)",-6.43076646086695,0.937177482754199,-6.86184482577202,7.78475445459487e-06,-8.44081225009447,-4.42072067163943,"Unpalatability","Stronger defense","Small effect","LE19-84","Shared gene ANI"
"Core Genes",923.204543010208,155.104834673298,5.95213260086175,3.534534057565e-05,590.537758371227,1255.87132764919,"Unpalatability","Reduced defense","Strong effect","LE19-84","Shared gene ANI"
