"term","estimate","std.error","statistic","p.value","conf.low","conf.high","Outcome","Significant","effect_cat","Ref_genotype","Gen_metric"
"1-Heptadecene",2.71370973769618,1.28105822766887,2.11833442000079,0.0512538332042858,-0.0168012395042503,5.44422071489662,"Log Inhibition","No significant effect","Small effect","LE19-12","Gene content conservation"
"Anabaenopeptin",-2.51816708953555,0.532876646218892,-4.72560977742896,0.000270707325411697,-3.65396677495822,-1.38236740411287,"Log Inhibition","Stronger defense","Small effect","LE19-12","Gene content conservation"
"NRPS-like (ctg36)",3.92400973089203,1.81831761692726,2.15804416916068,0.0475440077684047,0.048357472609077,7.79966198917497,"Log Inhibition","Reduced defense","Small effect","LE19-12","Gene content conservation"
"LAP (ctg5)",2.37413105817773,0.707951309521027,3.35352308308318,0.00435376208586216,0.86516856122069,3.88309355513477,"Log Inhibition","Reduced defense","Small effect","LE19-12","Gene content conservation"
"Core Genes",-14.2125915495387,5.1298357949408,-2.77057436488621,0.014282297931935,-25.1465777234615,-3.27860537561583,"Log Inhibition","Stronger defense","Small effect","LE19-12","Gene content conservation"
"1-Heptadecene",3.11192885170271,1.61662785413946,1.92495065808402,0.0734135571245279,-0.333831853342119,6.55768955674753,"Unpalatability","No significant effect","Small effect","LE19-12","Gene content conservation"
"Microviridin",2.56280660470975,1.49519672269575,1.71402636576755,0.107106291373852,-0.624129770402576,5.74974297982207,"Unpalatability","No significant effect","Small effect","LE19-12","Gene content conservation"
"Anabaenopeptin",-2.33828441278354,0.723496109054554,-3.23192396409588,0.00558641153037432,-3.88037986564214,-0.796188959924945,"Unpalatability","Stronger defense","Small effect","LE19-12","Gene content conservation"
"LAP (ctg5)",2.48054172145566,1.1570973619609,2.14376231681313,0.0488487029365844,0.0142470751356893,4.94683636777563,"Unpalatability","Reduced defense","Small effect","LE19-12","Gene content conservation"
"Core Genes",-9.27949870598729,5.82391809456329,-1.5933429274443,0.131933117338056,-21.6928862820216,3.13388887004698,"Unpalatability","No significant effect","Small effect","LE19-12","Gene content conservation"
