"term","estimate","std.error","statistic","p.value","conf.low","conf.high","Outcome","Significant","effect_cat","Ref_genotype","Gen_metric"
"1-Heptadecene",6.06476158727251,1.72905709023132,3.50755427425542,0.00565470234241476,2.21218230722577,9.91734086731925,"Log Inhibition","Reduced defense","Small effect","LE19-195","Gene content conservation"
"Microviridin",-6.80877384003539,1.9999180929742,-3.40452634733138,0.00671977725499478,-11.2648690437815,-2.35267863628928,"Log Inhibition","Stronger defense","Small effect","LE19-195","Gene content conservation"
"Anabaenopeptin",-14.3011919223885,5.30340652601196,-2.69660488070158,0.0224437869341299,-26.1179180508732,-2.48446579390366,"Log Inhibition","Stronger defense","Small effect","LE19-195","Gene content conservation"
"Cyanobactin (ctg39)",3.32924310097026,1.46217378366953,2.27691341354449,0.0460265920672053,0.0713168852203951,6.58716931672012,"Log Inhibition","Reduced defense","Small effect","LE19-195","Gene content conservation"
"Lanthipeptide (ctg3)",6.63627622260701,3.02269455002604,2.19548357029652,0.052843423342911,-0.0987069419931847,13.3712593872072,"Log Inhibition","No significant effect","Small effect","LE19-195","Gene content conservation"
"Lanthipeptide (ctg83)",-29.6425035690971,8.45000451526618,-3.50798671356253,0.00565062035187171,-48.4702869290211,-10.8147202091731,"Log Inhibition","Stronger defense","Strong effect","LE19-195","Gene content conservation"
"LAP (ctg5)",-3.28810496806621,1.83013911877266,-1.79664208820983,0.102611841576259,-7.3659090431435,0.789699107011075,"Log Inhibition","No significant effect","Small effect","LE19-195","Gene content conservation"
"Novel-T3PKS (ctg30)",27.3437393641107,18.5118402612628,1.47709460422091,0.170436371273541,-13.9032111437726,68.5906898719941,"Log Inhibition","No significant effect","Strong effect","LE19-195","Gene content conservation"
"NRPS-like (ctg36)",-6.27546170686459,2.20435325955552,-2.84684937845669,0.0173435186412724,-11.1870668479828,-1.36385656574636,"Log Inhibition","Stronger defense","Small effect","LE19-195","Gene content conservation"
"Core Genes",23.6668543222278,12.454743055532,1.90022822764824,0.086589860860624,-4.08404257130935,51.417751215765,"Log Inhibition","No significant effect","Strong effect","LE19-195","Gene content conservation"
"1-Heptadecene",3.83369185085538,1.0324123737287,3.71333388518919,0.00296271404909044,1.5842585254681,6.08312517624266,"Unpalatability","Reduced defense","Small effect","LE19-195","Gene content conservation"
"Microviridin",-6.62625610784136,1.53151299998298,-4.32660781065194,0.000984576118026049,-9.96313628100643,-3.28937593467629,"Unpalatability","Stronger defense","Small effect","LE19-195","Gene content conservation"
"Cyanobactin (ctg39)",3.97378348136512,1.26841919137989,3.132862943395,0.0086457616556004,1.21013547379048,6.73743148893976,"Unpalatability","Reduced defense","Small effect","LE19-195","Gene content conservation"
"Lanthipeptide (ctg3)",8.34666948072056,2.2012015366984,3.79186973185553,0.00256750624433568,3.55066333187886,13.1426756295623,"Unpalatability","Reduced defense","Small effect","LE19-195","Gene content conservation"
"LAP (ctg5)",-7.19513515726754,1.58838415535937,-4.52984571332472,0.00068989735835236,-10.6559269334047,-3.73434338113041,"Unpalatability","Stronger defense","Small effect","LE19-195","Gene content conservation"
"Novel-T3PKS (ctg30)",-35.5409134376247,5.94174432493916,-5.98156223054729,6.39528346251581e-05,-48.4868622034046,-22.5949646718449,"Unpalatability","Stronger defense","Strong effect","LE19-195","Gene content conservation"
"NRPS-like (ctg36)",-2.10617732828834,1.24836841291127,-1.68714404057742,0.117374536226691,-4.82613844249073,0.613783785914044,"Unpalatability","No significant effect","Small effect","LE19-195","Gene content conservation"
"Core Genes",41.1891215265737,9.89346448762146,4.16326571729336,0.00131512049310201,19.633114171087,62.7451288820605,"Unpalatability","Reduced defense","Strong effect","LE19-195","Gene content conservation"
