"term","estimate","std.error","statistic","p.value","conf.low","conf.high","Outcome","Significant","effect_cat","Ref_genotype","Gen_metric"
"1-Heptadecene",-78.5814585259812,38.2776727501277,-2.05293198045117,0.0625470634969865,-161.981343003763,4.81842595180053,"Log Inhibition","No significant effect","Strong effect","LE19-12","Shared gene ANI"
"Microviridin",110.609887810021,42.273625116837,2.61652241803997,0.0225289765995987,18.5035710489142,202.716204571128,"Log Inhibition","Reduced defense","Strong effect","LE19-12","Shared gene ANI"
"Cyanobactin (ctg39)",-239.548576667997,53.2322574443803,-4.50006421234887,0.000726571688713475,-355.531702139962,-123.565451196033,"Log Inhibition","Stronger defense","Strong effect","LE19-12","Shared gene ANI"
"Cyanopeptolin",69.2281634461577,22.5137865259469,3.07492315281452,0.00962831415783778,20.1748365190355,118.28149037328,"Log Inhibition","Reduced defense","Strong effect","LE19-12","Shared gene ANI"
"Lanthipeptide (ctg3)",-84.4483043189323,37.6593166923153,-2.24242794973932,0.0446016075685343,-166.50090668465,-2.39570195321448,"Log Inhibition","Stronger defense","Strong effect","LE19-12","Shared gene ANI"
"Lanthipeptide (ctg83)",-77.1402305461157,19.9758915944874,-3.8616664583524,0.00226179264537089,-120.663959436227,-33.6165016560048,"Log Inhibition","Stronger defense","Strong effect","LE19-12","Shared gene ANI"
"RiPP-like (ctg28)",102.790340052017,52.4368393923106,1.96026955940237,0.0735977963064397,-11.4597183631488,217.040398467184,"Log Inhibition","No significant effect","Strong effect","LE19-12","Shared gene ANI"
"Core Genes",146.883247770609,140.68553873383,1.04405363260899,0.317037414037321,-159.644208971307,453.410704512524,"Log Inhibition","No significant effect","Strong effect","LE19-12","Shared gene ANI"
"1-Heptadecene",-61.3767604244259,28.2238069507504,-2.17464499142608,0.0547386715552446,-124.263321242353,1.50980039350125,"Unpalatability","No significant effect","Strong effect","LE19-12","Shared gene ANI"
"Anabaenopeptin",-98.8530538201764,19.0834492662978,-5.1800412200511,0.000413052470967593,-141.373628560323,-56.3324790800294,"Unpalatability","Stronger defense","Strong effect","LE19-12","Shared gene ANI"
"Novel-T3PKS (ctg30)",-192.675781429478,123.59252431587,-1.55895983592866,0.150064926274215,-468.057086672725,82.70552381377,"Unpalatability","No significant effect","Strong effect","LE19-12","Shared gene ANI"
"Cyanobactin (ctg13)",60.5093843980919,28.9486278669951,2.09023324615257,0.0631043167044904,-3.99217806405242,125.010946860236,"Unpalatability","No significant effect","Strong effect","LE19-12","Shared gene ANI"
"Cyanobactin (ctg39)",-109.104549066676,60.7901901715324,-1.79477229399702,0.102924663338021,-244.553533607502,26.3444354741492,"Unpalatability","No significant effect","Strong effect","LE19-12","Shared gene ANI"
"Cyanopeptolin",61.6492405608654,15.709262595709,3.92438793261403,0.00284602140406354,26.6468222353114,96.6516588864194,"Unpalatability","Reduced defense","Strong effect","LE19-12","Shared gene ANI"
"Lanthipeptide (ctg3)",158.30945076698,54.9524588977334,2.88084380467113,0.0163618502555879,35.8677420847618,280.751159449199,"Unpalatability","Reduced defense","Strong effect","LE19-12","Shared gene ANI"
"Lanthipeptide (ctg83)",-59.3898706145092,14.5815432990802,-4.07294820557543,0.0022395488831182,-91.8795737611099,-26.9001674679085,"Unpalatability","Stronger defense","Strong effect","LE19-12","Shared gene ANI"
"RiPP-like (ctg28)",218.065206008774,45.7295832048213,4.76858065887168,0.000758668923181205,116.173344984973,319.957067032575,"Unpalatability","Reduced defense","Strong effect","LE19-12","Shared gene ANI"
"Core Genes",112.532964491193,125.385535766569,0.897495582749638,0.390550607837052,-166.843419227415,391.9093482098,"Unpalatability","No significant effect","Strong effect","LE19-12","Shared gene ANI"
