ref_genotype,gene_name,gene
LE19-195,BHKFFO_12845,accA
LE19-195,BHKFFO_03125,allA
LE19-195,BHKFFO_02020,apcECpcD
LE19-195,BHKFFO_10740,argF
LE19-195,BHKFFO_07205,argG
LE19-195,BHKFFO_14905,aroE
LE19-195,BHKFFO_11430,aroK
LE19-195,BHKFFO_02720,arsR
LE19-195,BHKFFO_04925,atp1
LE19-195,BHKFFO_04930,atpB
LE19-195,BHKFFO_04935,atpE
LE19-195,BHKFFO_04945,atpF
LE19-195,BHKFFO_04960,atpG
LE19-195,BHKFFO_04950,atpH
LE19-195,BHKFFO_05440,bioB
LE19-195,BHKFFO_05445,bioY
LE19-195,BHKFFO_14205,btpA
LE19-195,BHKFFO_07405,cbbL
LE19-195,BHKFFO_14345,cbiT
LE19-195,BHKFFO_15415,ccb1
LE19-195,BHKFFO_07385,ccmK1~~~ccmK
LE19-195,BHKFFO_07390,ccmL
LE19-195,BHKFFO_07315,ccsB
LE19-195,BHKFFO_14350,cdsA
LE19-195,BHKFFO_08685,citT
LE19-195,BHKFFO_03220,clpX
LE19-195,BHKFFO_02425,coaD
LE19-195,BHKFFO_15345,cobC
LE19-195,BHKFFO_03165,cobD
LE19-195,BHKFFO_03110,cobQ
LE19-195,BHKFFO_08840,cofG
LE19-195,BHKFFO_08315,cpcB
LE19-195,BHKFFO_04130,cpcT1
LE19-195,BHKFFO_09735,cpsB
LE19-195,BHKFFO_13575,crcB
LE19-195,BHKFFO_09110,csdA
LE19-195,BHKFFO_15280,ctaA
LE19-195,BHKFFO_15265,cyoC
LE19-195,BHKFFO_13445,cysQ
LE19-195,BHKFFO_16220,dacB
LE19-195,BHKFFO_02035,ddl
LE19-195,BHKFFO_15930,dndE
LE19-195,BHKFFO_07710,dusA
LE19-195,BHKFFO_17245,elsH
LE19-195,BHKFFO_09195,eno
LE19-195,BHKFFO_02075,fabB
LE19-195,BHKFFO_10850,fabH
LE19-195,BHKFFO_13345,fabZ
LE19-195,BHKFFO_01640,fkpA
LE19-195,BHKFFO_02305,fmt
LE19-195,BHKFFO_10395,folB
LE19-195,BHKFFO_02110,folE
LE19-195,BHKFFO_12580,frr
LE19-195,BHKFFO_06155,galM
LE19-195,BHKFFO_11940,gcvT
LE19-195,BHKFFO_03995,gdhA
LE19-195,BHKFFO_06940,gloA
LE19-195,BHKFFO_13635,gloB
LE19-195,BHKFFO_10410,glpG
LE19-195,BHKFFO_10795,gph
LE19-195,BHKFFO_01980,group_10147
LE19-195,BHKFFO_10920,group_10188
LE19-195,BHKFFO_11260,group_1022
LE19-195,BHKFFO_10385,group_10347
LE19-195,BHKFFO_12415,group_11121
LE19-195,BHKFFO_08880,group_11199
LE19-195,BHKFFO_08595,group_11207
LE19-195,BHKFFO_07865,group_11382
LE19-195,BHKFFO_07410,group_11505
LE19-195,BHKFFO_00755,group_11521
LE19-195,BHKFFO_15340,group_11598
LE19-195,BHKFFO_05870,group_11742
LE19-195,BHKFFO_11380,group_11811
LE19-195,BHKFFO_01020,group_12083
LE19-195,BHKFFO_06935,group_12240
LE19-195,BHKFFO_07380,group_12312
LE19-195,BHKFFO_09190,group_12349
LE19-195,BHKFFO_01840,group_12628
LE19-195,BHKFFO_04890,group_12701
LE19-195,BHKFFO_09375,group_12863
LE19-195,BHKFFO_07920,group_12983
LE19-195,BHKFFO_17655,group_13070
LE19-195,BHKFFO_16535,group_13097
LE19-195,BHKFFO_07550,group_13285
LE19-195,BHKFFO_01080,group_13377
LE19-195,BHKFFO_00080,group_13525
LE19-195,BHKFFO_03855,group_13569
LE19-195,BHKFFO_01030,group_13775
LE19-195,BHKFFO_08320,group_14045
LE19-195,BHKFFO_11800,group_14055
LE19-195,BHKFFO_08255,group_14222
LE19-195,BHKFFO_07470,group_14232
LE19-195,BHKFFO_04250,group_14353
LE19-195,BHKFFO_07460,group_14367
LE19-195,BHKFFO_10440,group_144
LE19-195,BHKFFO_17535,group_14549
LE19-195,BHKFFO_01050,group_1470
LE19-195,BHKFFO_13620,group_1807
LE19-195,BHKFFO_05415,group_2266
LE19-195,BHKFFO_05090,group_2356
LE19-195,BHKFFO_11185,group_238
LE19-195,BHKFFO_02430,group_2929
LE19-195,BHKFFO_10225,group_3246
LE19-195,BHKFFO_03905,group_3346
LE19-195,BHKFFO_04335,group_3365
LE19-195,BHKFFO_17315,group_3427
LE19-195,BHKFFO_07400,group_3473
LE19-195,BHKFFO_09550,group_3484
LE19-195,BHKFFO_09875,group_3491
LE19-195,BHKFFO_02700,group_3584
LE19-195,BHKFFO_16215,group_3763
LE19-195,BHKFFO_08930,group_3834
LE19-195,BHKFFO_09880,group_4296
LE19-195,BHKFFO_10800,group_4420
LE19-195,BHKFFO_03870,group_4466
LE19-195,BHKFFO_03330,group_4495
LE19-195,BHKFFO_12570,group_4511
LE19-195,BHKFFO_11270,group_4551
LE19-195,BHKFFO_11255,group_4581
LE19-195,BHKFFO_11265,group_4582
LE19-195,BHKFFO_07840,group_4589
LE19-195,BHKFFO_02310,group_466
LE19-195,BHKFFO_05370,group_4735
LE19-195,BHKFFO_05380,group_4736
LE19-195,BHKFFO_08830,group_4765
LE19-195,BHKFFO_02695,group_4814
LE19-195,BHKFFO_02385,group_4816
LE19-195,BHKFFO_02970,group_4862
LE19-195,BHKFFO_02460,group_5007
LE19-195,BHKFFO_02120,group_5015
LE19-195,BHKFFO_06175,group_5117
LE19-195,BHKFFO_07630,group_5175
LE19-195,BHKFFO_08605,group_5209
LE19-195,BHKFFO_07300,group_5221
LE19-195,BHKFFO_08955,group_5445
LE19-195,BHKFFO_06945,group_5596
LE19-195,BHKFFO_01965,group_5613
LE19-195,BHKFFO_03910,group_5620
LE19-195,BHKFFO_02175,group_5658
LE19-195,BHKFFO_17310,group_5694
LE19-195,BHKFFO_11970,group_573
LE19-195,BHKFFO_04145,group_5805
LE19-195,BHKFFO_12760,group_5824
LE19-195,BHKFFO_04865,group_5945
LE19-195,BHKFFO_11955,group_6075
LE19-195,BHKFFO_11365,group_6100
LE19-195,BHKFFO_08130,group_6103
LE19-195,BHKFFO_14945,group_6135
LE19-195,BHKFFO_04830,group_6227
LE19-195,BHKFFO_04090,group_6247
LE19-195,BHKFFO_11220,group_6268
LE19-195,BHKFFO_09480,group_6351
LE19-195,BHKFFO_10860,group_639
LE19-195,BHKFFO_12540,group_6551
