ref_genotype,gene_name,gene
LE19-114,OCDKLD_05855,accA
LE19-114,OCDKLD_01650,allA
LE19-114,OCDKLD_00955,apcECpcD
LE19-114,OCDKLD_12240,argF
LE19-114,OCDKLD_11945,argG
LE19-114,OCDKLD_02955,aroE
LE19-114,OCDKLD_07720,aroK
LE19-114,OCDKLD_05755,arsR
LE19-114,OCDKLD_00060,atp1
LE19-114,OCDKLD_00065,atpB
LE19-114,OCDKLD_00070,atpE
LE19-114,OCDKLD_00080,atpF
LE19-114,OCDKLD_00095,atpG
LE19-114,OCDKLD_00085,atpH
LE19-114,OCDKLD_16185,bchL
LE19-114,OCDKLD_09540,bioB
LE19-114,OCDKLD_09535,bioY
LE19-114,OCDKLD_02905,btpA
LE19-114,OCDKLD_19985,cbbL
LE19-114,OCDKLD_09915,cbiT
LE19-114,OCDKLD_11100,ccb1
LE19-114,OCDKLD_20005,ccmK1~~~ccmK
LE19-114,OCDKLD_20000,ccmL
LE19-114,OCDKLD_13600,ccsB
LE19-114,OCDKLD_09920,cdsA
LE19-114,OCDKLD_11020,citT
LE19-114,OCDKLD_17000,clpX
LE19-114,OCDKLD_09670,coaD
LE19-114,OCDKLD_05605,cobC
LE19-114,OCDKLD_15945,cobD
LE19-114,OCDKLD_03535,cobQ
LE19-114,OCDKLD_02190,cofG
LE19-114,OCDKLD_00945,cpcB
LE19-114,OCDKLD_05900,cpcT1
LE19-114,OCDKLD_01215,cpsB
LE19-114,OCDKLD_00835,crcB
LE19-114,OCDKLD_10010,csdA
LE19-114,OCDKLD_11475,ctaA
LE19-114,OCDKLD_11460,cyoC
LE19-114,OCDKLD_00785,cysQ
LE19-114,OCDKLD_03740,dacB
LE19-114,OCDKLD_00970,ddl
LE19-114,OCDKLD_02060,dndE
LE19-114,OCDKLD_21620,dusA
LE19-114,OCDKLD_19545,elsH
LE19-114,OCDKLD_02415,eno
LE19-114,OCDKLD_19920,fabB
LE19-114,OCDKLD_20450,fabH
LE19-114,OCDKLD_06635,fabZ
LE19-114,OCDKLD_09165,fkpA
LE19-114,OCDKLD_09310,fmt
LE19-114,OCDKLD_07100,folB
LE19-114,OCDKLD_12155,folE
LE19-114,OCDKLD_06940,frr
LE19-114,OCDKLD_14680,galM
LE19-114,OCDKLD_10245,gcvT
LE19-114,OCDKLD_21340,gdhA
LE19-114,OCDKLD_07645,gloA
LE19-114,OCDKLD_20145,gloB
LE19-114,OCDKLD_07085,glpG
LE19-114,OCDKLD_04805,gph
LE19-114,OCDKLD_18600,group_10147
LE19-114,OCDKLD_01300,group_10188
LE19-114,OCDKLD_07800,group_1022
LE19-114,OCDKLD_07105,group_10347
LE19-114,OCDKLD_22120,group_11121
LE19-114,OCDKLD_08335,group_11199
LE19-114,OCDKLD_13075,group_11207
LE19-114,OCDKLD_21090,group_11382
LE19-114,OCDKLD_19980,group_11505
LE19-114,OCDKLD_12575,group_11521
LE19-114,OCDKLD_05610,group_11598
LE19-114,OCDKLD_16535,group_11742
LE19-114,OCDKLD_07330,group_11811
LE19-114,OCDKLD_05360,group_12083
LE19-114,OCDKLD_07640,group_12240
LE19-114,OCDKLD_12620,group_12267
LE19-114,OCDKLD_20010,group_12312
LE19-114,OCDKLD_02420,group_12349
LE19-114,OCDKLD_22060,group_12628
LE19-114,OCDKLD_04415,group_12701
LE19-114,OCDKLD_03300,group_12863
LE19-114,OCDKLD_01465,group_12983
LE19-114,OCDKLD_17760,group_13070
LE19-114,OCDKLD_17190,group_13097
LE19-114,OCDKLD_14415,group_13285
LE19-114,OCDKLD_05305,group_13377
LE19-114,OCDKLD_11305,group_13525
LE19-114,OCDKLD_13880,group_13569
LE19-114,OCDKLD_05350,group_13775
LE19-114,OCDKLD_00950,group_14045
LE19-114,OCDKLD_04215,group_14055
LE19-114,OCDKLD_19730,group_14222
LE19-114,OCDKLD_20895,group_14232
LE19-114,OCDKLD_22020,group_14353
LE19-114,OCDKLD_20905,group_14367
LE19-114,OCDKLD_17420,group_144
LE19-114,OCDKLD_19155,group_14549
LE19-114,OCDKLD_05335,group_1470
LE19-114,OCDKLD_15660,group_1807
LE19-114,OCDKLD_09565,group_2266
LE19-114,OCDKLD_03325,group_2356
LE19-114,OCDKLD_01180,group_238
LE19-114,OCDKLD_09675,group_2929
LE19-114,OCDKLD_04030,group_2999
LE19-114,OCDKLD_02830,group_3246
LE19-114,OCDKLD_13445,group_3346
LE19-114,OCDKLD_10890,group_3365
LE19-114,OCDKLD_13535,group_3427
LE19-114,OCDKLD_19990,group_3473
LE19-114,OCDKLD_20025,group_3484
LE19-114,OCDKLD_07300,group_3491
LE19-114,OCDKLD_05735,group_3584
LE19-114,OCDKLD_03735,group_3763
LE19-114,OCDKLD_21530,group_3834
LE19-114,OCDKLD_07305,group_4296
LE19-114,OCDKLD_04810,group_4420
LE19-114,OCDKLD_13895,group_4466
LE19-114,OCDKLD_12680,group_4495
LE19-114,OCDKLD_06930,group_4511
LE19-114,OCDKLD_07790,group_4551
LE19-114,OCDKLD_07805,group_4581
LE19-114,OCDKLD_07795,group_4582
LE19-114,OCDKLD_13710,group_4589
LE19-114,OCDKLD_09305,group_466
LE19-114,OCDKLD_08220,group_4735
LE19-114,OCDKLD_08210,group_4736
LE19-114,OCDKLD_02200,group_4765
LE19-114,OCDKLD_05730,group_4814
LE19-114,OCDKLD_03195,group_4816
LE19-114,OCDKLD_08315,group_4862
LE19-114,OCDKLD_09705,group_5007
LE19-114,OCDKLD_12165,group_5015
LE19-114,OCDKLD_14705,group_5117
LE19-114,OCDKLD_21725,group_5175
