ref_genotype,gene_name,gene
LE19-84,FMDALA_14430,accA
LE19-84,FMDALA_24005,allA
LE19-84,FMDALA_07510,apcECpcD
LE19-84,FMDALA_16840,argF
LE19-84,FMDALA_07400,argG
LE19-84,FMDALA_20570,aroE
LE19-84,FMDALA_18960,aroK
LE19-84,FMDALA_01530,arsR
LE19-84,FMDALA_11740,atp1
LE19-84,FMDALA_11735,atpB
LE19-84,FMDALA_11730,atpE
LE19-84,FMDALA_11720,atpF
LE19-84,FMDALA_11705,atpG
LE19-84,FMDALA_11715,atpH
LE19-84,FMDALA_08580,bchL
LE19-84,FMDALA_04320,bioB
LE19-84,FMDALA_04325,bioY
LE19-84,FMDALA_00630,btpA
LE19-84,FMDALA_14245,cbbL
LE19-84,FMDALA_15105,cbiT
LE19-84,FMDALA_04640,ccb1
LE19-84,FMDALA_14265,ccmK1~~~ccmK
LE19-84,FMDALA_14260,ccmL
LE19-84,FMDALA_02535,ccsB
LE19-84,FMDALA_15110,cdsA
LE19-84,FMDALA_22130,citT
LE19-84,FMDALA_07030,clpX
LE19-84,FMDALA_07695,coaD
LE19-84,FMDALA_16155,cobC
LE19-84,FMDALA_24060,cobD
LE19-84,FMDALA_16485,cobQ
LE19-84,FMDALA_17900,cofG
LE19-84,FMDALA_07500,cpcB
LE19-84,FMDALA_13570,cpcT1
LE19-84,FMDALA_05615,cpsB
LE19-84,FMDALA_19205,crcB
LE19-84,FMDALA_00505,csdA
LE19-84,FMDALA_10325,ctaA
LE19-84,FMDALA_10310,cyoC
LE19-84,FMDALA_17455,cysQ
LE19-84,FMDALA_15280,dacB
LE19-84,FMDALA_03225,ddl
LE19-84,FMDALA_19665,dndE
LE19-84,FMDALA_17570,dusA
LE19-84,FMDALA_00965,elsH
LE19-84,FMDALA_15895,eno
LE19-84,FMDALA_03495,fabB
LE19-84,FMDALA_14910,fabH
LE19-84,FMDALA_09565,fabZ
LE19-84,FMDALA_16745,fkpA
LE19-84,FMDALA_24840,fmt
LE19-84,FMDALA_13255,folB
LE19-84,FMDALA_20300,folE
LE19-84,FMDALA_11050,frr
LE19-84,FMDALA_09470,galM
LE19-84,FMDALA_23575,gcvT
LE19-84,FMDALA_10155,gdhA
LE19-84,FMDALA_10650,gloA
LE19-84,FMDALA_12380,gloB
LE19-84,FMDALA_13240,glpG
LE19-84,FMDALA_11240,gph
LE19-84,FMDALA_08450,group_10147
LE19-84,FMDALA_02375,group_10188
LE19-84,FMDALA_08285,group_1022
LE19-84,FMDALA_13265,group_10347
LE19-84,FMDALA_08490,group_11121
LE19-84,FMDALA_20050,group_11199
LE19-84,FMDALA_23015,group_11207
LE19-84,FMDALA_20885,group_11382
LE19-84,FMDALA_14240,group_11505
LE19-84,FMDALA_24980,group_11521
LE19-84,FMDALA_16150,group_11598
LE19-84,FMDALA_09640,group_11742
LE19-84,FMDALA_22850,group_11811
LE19-84,FMDALA_13860,group_12083
LE19-84,FMDALA_10655,group_12240
LE19-84,FMDALA_12825,group_12267
LE19-84,FMDALA_14270,group_12312
LE19-84,FMDALA_15900,group_12349
LE19-84,FMDALA_21605,group_12628
LE19-84,FMDALA_11760,group_12701
LE19-84,FMDALA_01445,group_12863
LE19-84,FMDALA_25150,group_12983
LE19-84,FMDALA_22755,group_13070
LE19-84,FMDALA_11970,group_13097
LE19-84,FMDALA_19905,group_13285
LE19-84,FMDALA_13925,group_13377
LE19-84,FMDALA_02780,group_13525
LE19-84,FMDALA_21780,group_13569
LE19-84,FMDALA_13870,group_13775
LE19-84,FMDALA_07505,group_14045
LE19-84,FMDALA_19005,group_14055
LE19-84,FMDALA_21970,group_14222
LE19-84,FMDALA_02715,group_14232
LE19-84,FMDALA_21580,group_14353
LE19-84,FMDALA_02705,group_14367
LE19-84,FMDALA_13210,group_144
LE19-84,FMDALA_05990,group_14549
LE19-84,FMDALA_13895,group_1470
LE19-84,FMDALA_12365,group_1807
LE19-84,FMDALA_04295,group_2266
LE19-84,FMDALA_16240,group_2356
LE19-84,FMDALA_24680,group_238
LE19-84,FMDALA_07700,group_2929
LE19-84,FMDALA_14700,group_2999
LE19-84,FMDALA_01245,group_3246
LE19-84,FMDALA_16425,group_3346
LE19-84,FMDALA_21485,group_3365
LE19-84,FMDALA_01045,group_3427
LE19-84,FMDALA_14250,group_3473
LE19-84,FMDALA_14285,group_3484
LE19-84,FMDALA_04690,group_3491
LE19-84,FMDALA_01510,group_3584
LE19-84,FMDALA_15285,group_3763
LE19-84,FMDALA_22450,group_3834
LE19-84,FMDALA_04695,group_4296
LE19-84,FMDALA_11235,group_4420
LE19-84,FMDALA_21795,group_4466
LE19-84,FMDALA_18725,group_4495
LE19-84,FMDALA_11060,group_4511
LE19-84,FMDALA_08295,group_4551
LE19-84,FMDALA_08280,group_4581
LE19-84,FMDALA_08290,group_4582
LE19-84,FMDALA_22355,group_4589
LE19-84,FMDALA_24845,group_466
LE19-84,FMDALA_20525,group_4735
LE19-84,FMDALA_20535,group_4736
LE19-84,FMDALA_17910,group_4765
LE19-84,FMDALA_01505,group_4814
LE19-84,FMDALA_05815,group_4816
LE19-84,FMDALA_00265,group_4862
LE19-84,FMDALA_07730,group_5007
LE19-84,FMDALA_20290,group_5015
LE19-84,FMDALA_09450,group_5117
LE19-84,FMDALA_17650,group_5175
LE19-84,FMDALA_23005,group_5209
LE19-84,FMDALA_02550,group_5221
LE19-84,FMDALA_21670,group_5445
LE19-84,FMDALA_10645,group_5596
LE19-84,FMDALA_08435,group_5613
LE19-84,FMDALA_16420,group_5620
LE19-84,FMDALA_13125,group_5658
LE19-84,FMDALA_01040,group_5694
LE19-84,FMDALA_23605,group_573
LE19-84,FMDALA_13585,group_5805
LE19-84,FMDALA_14505,group_5824
LE19-84,FMDALA_19265,group_5945
LE19-84,FMDALA_23590,group_6075
LE19-84,FMDALA_22865,group_6100
LE19-84,FMDALA_23405,group_6103
LE19-84,FMDALA_23650,group_6135
LE19-84,FMDALA_09245,group_6227
LE19-84,FMDALA_13525,group_6247
LE19-84,FMDALA_04390,group_6268
LE19-84,FMDALA_13315,group_6351
LE19-84,FMDALA_14900,group_639
LE19-84,FMDALA_02970,group_6551
LE19-84,FMDALA_20505,group_6567
LE19-84,FMDALA_21175,group_6580
LE19-84,FMDALA_16415,group_6594
LE19-84,FMDALA_08495,group_6613
LE19-84,FMDALA_08485,group_6614
LE19-84,FMDALA_22005,group_6627
LE19-84,FMDALA_20880,group_6650
LE19-84,FMDALA_24975,group_6673
LE19-84,FMDALA_16145,group_6680
LE19-84,FMDALA_09635,group_6704
LE19-84,FMDALA_09560,group_6843
LE19-84,FMDALA_12395,group_6873
LE19-84,FMDALA_07645,group_6913
LE19-84,FMDALA_10400,group_6926
LE19-84,FMDALA_12935,group_6969
LE19-84,FMDALA_13590,group_6975
LE19-84,FMDALA_07590,group_6994
LE19-84,FMDALA_01475,group_7025
LE19-84,FMDALA_21965,group_7027
LE19-84,FMDALA_05825,group_7048
LE19-84,FMDALA_01030,group_7089
LE19-84,FMDALA_11615,group_7098
LE19-84,FMDALA_11230,group_7122
LE19-84,FMDALA_08310,group_7223
LE19-84,FMDALA_23485,group_7248
LE19-84,FMDALA_13580,group_7250
LE19-84,FMDALA_07530,group_7300
LE19-84,FMDALA_07520,group_7301
LE19-84,FMDALA_06860,group_7312
LE19-84,FMDALA_08645,group_7463
LE19-84,FMDALA_14235,group_7648
LE19-84,FMDALA_02390,group_7684
LE19-84,FMDALA_01400,group_7762
LE19-84,FMDALA_07325,group_7799
LE19-84,FMDALA_13535,group_7803
LE19-84,FMDALA_18685,group_784
LE19-84,FMDALA_11135,group_7847
LE19-84,FMDALA_03730,group_7905
LE19-84,FMDALA_18965,group_7908
LE19-84,FMDALA_09250,group_7920
LE19-84,FMDALA_08440,group_7923
LE19-84,FMDALA_08430,group_7924
LE19-84,FMDALA_23205,group_7929
LE19-84,FMDALA_22970,group_7930
LE19-84,FMDALA_08035,group_8138
LE19-84,FMDALA_14535,group_8377
LE19-84,FMDALA_13320,group_8422
LE19-84,FMDALA_02965,group_8531
LE19-84,FMDALA_11575,group_8591
LE19-84,FMDALA_05625,group_8714
LE19-84,FMDALA_03580,group_8726
LE19-84,FMDALA_03595,group_8727
LE19-84,FMDALA_07275,group_8734
LE19-84,FMDALA_11750,group_8771
LE19-84,FMDALA_20575,group_8848
LE19-84,FMDALA_13915,group_8850
LE19-84,FMDALA_05970,group_8913
LE19-84,FMDALA_01485,group_8915
LE19-84,FMDALA_18730,group_8947
LE19-84,FMDALA_08780,group_90
LE19-84,FMDALA_15560,group_9012
LE19-84,FMDALA_08045,group_9037
LE19-84,FMDALA_11580,group_9107
LE19-84,FMDALA_03725,group_9480
LE19-84,FMDALA_01645,group_9660
LE19-84,FMDALA_13325,group_9691
LE19-84,FMDALA_02960,group_9732
LE19-84,FMDALA_02995,group_9751
LE19-84,FMDALA_05550,group_9765
LE19-84,FMDALA_14725,grxD
LE19-84,FMDALA_24055,himA
LE19-84,FMDALA_18595,hisA
LE19-84,FMDALA_20580,hisM
LE19-84,FMDALA_22245,hoxU
LE19-84,FMDALA_03460,htpX
LE19-84,FMDALA_17600,hyuB
LE19-84,FMDALA_15335,ilvB
LE19-84,FMDALA_12185,infA
LE19-84,FMDALA_19215,ispE
LE19-84,FMDALA_17625,ispG
LE19-84,FMDALA_11505,jag
LE19-84,FMDALA_23610,labA
LE19-84,FMDALA_11605,lepB
LE19-84,FMDALA_04300,leuB
LE19-84,FMDALA_22855,lnt
LE19-84,FMDALA_05040,menA
LE19-84,FMDALA_18160,metK
LE19-84,FMDALA_04460,minD
