Query_gene_name	Query_gene_annotation	Reference_Name_lauren	Reference_Name_antiSMASH	Not_in_Lauren	Not_in_antiSMASH	Both_match	Main_Product	Biosynthetic_Class	Organism	Gene	New_BGC_name	gene_type	pos_in_bgc	core_genes	genes_in_bgc
GMBOIL_23075	FAD-dependent oxidoreductase	AAF00964.1_uma1_MicrocystisaeruginosaPCC7806_microcystinLR	NA	FALSE	TRUE	FALSE	microcystin LR	NRP, Modular type I polyketide	Microcystis aeruginosa PCC 7806	uma1	Microcystin LR-Microcystis	other	12	6	17
GMBOIL_23080	Putative restriction endonuclease	AAF00965.1_uma2_MicrocystisaeruginosaPCC7806_microcystinLR	NA	FALSE	TRUE	FALSE	microcystin LR	NRP, Modular type I polyketide	Microcystis aeruginosa PCC 7806	uma2	Microcystin LR-Microcystis	other	13	6	17
GMBOIL_23085	adenylyl-sulfate kinase	AAF00966.1_uma3_MicrocystisaeruginosaPCC7806_microcystinLR	NA	FALSE	TRUE	FALSE	microcystin LR	NRP, Modular type I polyketide	Microcystis aeruginosa PCC 7806	uma3	Microcystin LR-Microcystis	other	14	6	17
GMBOIL_06805	Transposase	AAF00967.1_uma4_MicrocystisaeruginosaPCC7806_microcystinLR	NA	FALSE	TRUE	FALSE	microcystin LR	NRP, Modular type I polyketide	Microcystis aeruginosa PCC 7806	uma4	Microcystin LR-Microcystis	other	15	6	17
GMBOIL_16380	DUF6014 domain-containing protein	AAZ03548.1_mcnG_Microcystissp.NIVA-CYA172/5_cyanopeptolin	LE1912_micropeptin_O9329_18680	FALSE	FALSE	TRUE	cyanopeptolin	NRP	Microcystis sp. NIVA-CYA 172/5	mcnG	Cyanopeptolin-Microcystis	other	1	4	7
GMBOIL_16375	ABC transporter	AAZ03549.1_mcnF_Microcystissp.NIVA-CYA172/5_cyanopeptolin	LE1912_micropeptin_O9329_18675	FALSE	FALSE	TRUE	cyanopeptolin	NRP	Microcystis sp. NIVA-CYA 172/5	mcnF	Cyanopeptolin-Microcystis	transport	2	4	7
GMBOIL_16365	amino acid adenylation domain-containing protein	AAZ03551.1_mcnB_Microcystissp.NIVA-CYA172/5_cyanopeptolin	LE1912_micropeptin_O9329_18665	FALSE	FALSE	TRUE	cyanopeptolin	NRP	Microcystis sp. NIVA-CYA 172/5	mcnB	Cyanopeptolin-Microcystis	core	4	4	7
GMBOIL_16355	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG	AAZ03552.1_mcnC_Microcystissp.NIVA-CYA172/5_cyanopeptolin	LE1912_micropeptin_O9329_18655	FALSE	FALSE	TRUE	cyanopeptolin	NRP	Microcystis sp. NIVA-CYA 172/5	mcnC	Cyanopeptolin-Microcystis	core	5	4	7
GMBOIL_16350	FAD-dependent oxidoreductase	AAZ03553.1_mcnD_Microcystissp.NIVA-CYA172/5_cyanopeptolin	LE1912_micropeptin_O9329_18650	FALSE	FALSE	TRUE	cyanopeptolin	NRP	Microcystis sp. NIVA-CYA 172/5	mcnD	Cyanopeptolin-Microcystis	additional	6	4	7
GMBOIL_16345	non-ribosomal peptide synthetase	AAZ03554.1_mcnE_Microcystissp.NIVA-CYA172/5_cyanopeptolin	LE1912_micropeptin_O9329_18645	FALSE	FALSE	TRUE	cyanopeptolin	NRP	Microcystis sp. NIVA-CYA 172/5	mcnE	Cyanopeptolin-Microcystis	core	7	4	7
