"ref_genotype","gene_name","bgc_name"
"LE19-84","FMDALA_02065","1_heptadecene_ctg44"
"LE19-84","FMDALA_02070","1_heptadecene_ctg44"
"LE19-84","FMDALA_04570","1_heptadecene_ctg44"
"LE19-84","FMDALA_11920","1_heptadecene_ctg44"
"LE19-84","FMDALA_19055","1_heptadecene_ctg44"
"LE19-84","FMDALA_03670","Aeruginosin"
"LE19-84","FMDALA_03675","Aeruginosin"
"LE19-84","FMDALA_03680","Aeruginosin"
"LE19-84","FMDALA_03685","Aeruginosin"
"LE19-84","FMDALA_03690","Aeruginosin"
"LE19-84","FMDALA_03695","Aeruginosin"
"LE19-84","FMDALA_03700","Aeruginosin"
"LE19-84","FMDALA_03705","Aeruginosin"
"LE19-84","FMDALA_03710","Aeruginosin"
"LE19-84","FMDALA_03715","Aeruginosin"
"LE19-84","FMDALA_03720","Aeruginosin"
"LE19-84","FMDALA_03725","Aeruginosin"
"LE19-84","FMDALA_03730","Aeruginosin"
"LE19-84","FMDALA_03735","Aeruginosin"
"LE19-84","FMDALA_03740","Aeruginosin"
"LE19-84","FMDALA_10755","Aeruginosin"
"LE19-84","FMDALA_10760","Aeruginosin"
"LE19-84","FMDALA_10765","Aeruginosin"
"LE19-84","FMDALA_10770","Aeruginosin"
"LE19-84","FMDALA_10775","Aeruginosin"
"LE19-84","FMDALA_10780","Aeruginosin"
"LE19-84","FMDALA_10785","Aeruginosin"
"LE19-84","FMDALA_10790","Aeruginosin"
"LE19-84","FMDALA_10795","Aeruginosin"
"LE19-84","FMDALA_10800","Aeruginosin"
"LE19-84","FMDALA_10805","Aeruginosin"
"LE19-84","FMDALA_10810","Aeruginosin"
"LE19-84","FMDALA_15350","Anabaenopeptin_ctg105"
"LE19-84","FMDALA_15355","Anabaenopeptin_ctg105"
"LE19-84","FMDALA_15365","Anabaenopeptin_ctg105"
"LE19-84","FMDALA_15370","Anabaenopeptin_ctg105"
"LE19-84","FMDALA_05795","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_05800","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_07475","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_13860","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_15915","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_17125","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_17130","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_17135","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_17140","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_17145","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_17150","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_17155","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_17160","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_17165","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_17170","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_17175","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_17180","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_17185","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_17190","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_17195","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_23575","Bartoloside_like_T1PKS_ctg34"
"LE19-84","FMDALA_03865","Cyanobactin_ctg13"
"LE19-84","FMDALA_03870","Cyanobactin_ctg13"
"LE19-84","FMDALA_05510","Cyanobactin_ctg13"
"LE19-84","FMDALA_05515","Cyanobactin_ctg13"
"LE19-84","FMDALA_10430","Cyanobactin_ctg13"
"LE19-84","FMDALA_10435","Cyanobactin_ctg13"
"LE19-84","FMDALA_10440","Cyanobactin_ctg13"
"LE19-84","FMDALA_10445","Cyanobactin_ctg13"
"LE19-84","FMDALA_10450","Cyanobactin_ctg13"
"LE19-84","FMDALA_10455","Cyanobactin_ctg13"
"LE19-84","FMDALA_10460","Cyanobactin_ctg13"
"LE19-84","FMDALA_10465","Cyanobactin_ctg13"
"LE19-84","FMDALA_10470","Cyanobactin_ctg13"
"LE19-84","FMDALA_10475","Cyanobactin_ctg13"
"LE19-84","FMDALA_10480","Cyanobactin_ctg13"
"LE19-84","FMDALA_20520","Cyanobactin_ctg13"
"LE19-84","FMDALA_20525","Cyanobactin_ctg13"
"LE19-84","FMDALA_20530","Cyanobactin_ctg13"
"LE19-84","FMDALA_20535","Cyanobactin_ctg13"
"LE19-84","FMDALA_20540","Cyanobactin_ctg13"
"LE19-84","FMDALA_17765","Cyanobactin_ctg39"
"LE19-84","FMDALA_17770","Cyanobactin_ctg39"
"LE19-84","FMDALA_17775","Cyanobactin_ctg39"
"LE19-84","FMDALA_17780","Cyanobactin_ctg39"
"LE19-84","FMDALA_17785","Cyanobactin_ctg39"
"LE19-84","FMDALA_17795","Cyanobactin_ctg39"
"LE19-84","FMDALA_17800","Cyanobactin_ctg39"
"LE19-84","FMDALA_17805","Cyanobactin_ctg39"
"LE19-84","FMDALA_17810","Cyanobactin_ctg39"
"LE19-84","FMDALA_17815","Cyanobactin_ctg39"
"LE19-84","FMDALA_17820","Cyanobactin_ctg39"
"LE19-84","FMDALA_17825","Cyanobactin_ctg39"
"LE19-84","FMDALA_17830","Cyanobactin_ctg39"
"LE19-84","FMDALA_17835","Cyanobactin_ctg39"
"LE19-84","FMDALA_00025","Lanthipeptide_ctg3"
"LE19-84","FMDALA_00030","Lanthipeptide_ctg3"
"LE19-84","FMDALA_07115","Lanthipeptide_ctg3"
"LE19-84","FMDALA_07120","Lanthipeptide_ctg3"
"LE19-84","FMDALA_07125","Lanthipeptide_ctg3"
"LE19-84","FMDALA_07130","Lanthipeptide_ctg3"
"LE19-84","FMDALA_07135","Lanthipeptide_ctg3"
"LE19-84","FMDALA_09920","Lanthipeptide_ctg3"
"LE19-84","FMDALA_09925","Lanthipeptide_ctg3"
"LE19-84","FMDALA_20260","Lanthipeptide_ctg3"
"LE19-84","FMDALA_06995","Lanthipeptide_ctg83"
"LE19-84","FMDALA_07000","Lanthipeptide_ctg83"
"LE19-84","FMDALA_07005","Lanthipeptide_ctg83"
"LE19-84","FMDALA_07010","Lanthipeptide_ctg83"
"LE19-84","FMDALA_07015","Lanthipeptide_ctg83"
"LE19-84","FMDALA_07020","Lanthipeptide_ctg83"
"LE19-84","FMDALA_07025","Lanthipeptide_ctg83"
"LE19-84","FMDALA_07030","Lanthipeptide_ctg83"
"LE19-84","FMDALA_07040","Lanthipeptide_ctg83"
"LE19-84","FMDALA_07045","Lanthipeptide_ctg83"
"LE19-84","FMDALA_07050","Lanthipeptide_ctg83"
"LE19-84","FMDALA_01595","LAP_ctg5"
"LE19-84","FMDALA_01600","LAP_ctg5"
"LE19-84","FMDALA_01605","LAP_ctg5"
"LE19-84","FMDALA_01610","LAP_ctg5"
"LE19-84","FMDALA_01615","LAP_ctg5"
"LE19-84","FMDALA_01620","LAP_ctg5"
"LE19-84","FMDALA_06000","LAP_ctg5"
"LE19-84","FMDALA_06005","LAP_ctg5"
"LE19-84","FMDALA_06010","LAP_ctg5"
"LE19-84","FMDALA_06015","LAP_ctg5"
"LE19-84","FMDALA_06020","LAP_ctg5"
"LE19-84","FMDALA_06025","LAP_ctg5"
"LE19-84","FMDALA_06030","LAP_ctg5"
"LE19-84","FMDALA_06035","LAP_ctg5"
"LE19-84","FMDALA_06040","LAP_ctg5"
"LE19-84","FMDALA_06045","LAP_ctg5"
"LE19-84","FMDALA_06050","LAP_ctg5"
"LE19-84","FMDALA_06540","LAP_ctg5"
"LE19-84","FMDALA_06545","LAP_ctg5"
"LE19-84","FMDALA_06550","LAP_ctg5"
"LE19-84","FMDALA_06555","LAP_ctg5"
"LE19-84","FMDALA_06560","LAP_ctg5"
"LE19-84","FMDALA_06565","LAP_ctg5"
"LE19-84","FMDALA_06570","LAP_ctg5"
"LE19-84","FMDALA_06575","LAP_ctg5"
"LE19-84","FMDALA_06580","LAP_ctg5"
"LE19-84","FMDALA_06585","LAP_ctg5"
"LE19-84","FMDALA_06590","LAP_ctg5"
"LE19-84","FMDALA_06595","LAP_ctg5"
"LE19-84","FMDALA_09755","LAP_ctg5"
"LE19-84","FMDALA_09760","LAP_ctg5"
"LE19-84","FMDALA_09765","LAP_ctg5"
"LE19-84","FMDALA_09770","LAP_ctg5"
"LE19-84","FMDALA_09775","LAP_ctg5"
"LE19-84","FMDALA_09780","LAP_ctg5"
"LE19-84","FMDALA_09785","LAP_ctg5"
"LE19-84","FMDALA_09790","LAP_ctg5"
"LE19-84","FMDALA_09795","LAP_ctg5"
"LE19-84","FMDALA_09800","LAP_ctg5"
"LE19-84","FMDALA_09805","LAP_ctg5"
"LE19-84","FMDALA_09810","LAP_ctg5"
"LE19-84","FMDALA_10050","Microcystin_LR"
