"ref_genotype","gene_name","bgc_name"
"LE19-12","GMBOIL_03980","1_heptadecene_ctg44"
"LE19-12","GMBOIL_03985","1_heptadecene_ctg44"
"LE19-12","GMBOIL_07830","1_heptadecene_ctg44"
"LE19-12","GMBOIL_23975","1_heptadecene_ctg44"
"LE19-12","GMBOIL_23980","1_heptadecene_ctg44"
"LE19-12","GMBOIL_24010","1_heptadecene_ctg44"
"LE19-12","GMBOIL_09390","Anabaenopeptin_ctg105"
"LE19-12","GMBOIL_09395","Anabaenopeptin_ctg105"
"LE19-12","GMBOIL_09400","Anabaenopeptin_ctg105"
"LE19-12","GMBOIL_09405","Anabaenopeptin_ctg105"
"LE19-12","GMBOIL_09410","Anabaenopeptin_ctg105"
"LE19-12","GMBOIL_09415","Anabaenopeptin_ctg105"
"LE19-12","GMBOIL_09420","Anabaenopeptin_ctg105"
"LE19-12","GMBOIL_09425","Anabaenopeptin_ctg105"
"LE19-12","GMBOIL_09430","Anabaenopeptin_ctg105"
"LE19-12","GMBOIL_09435","Anabaenopeptin_ctg105"
"LE19-12","GMBOIL_09440","Anabaenopeptin_ctg105"
"LE19-12","GMBOIL_09445","Anabaenopeptin_ctg105"
"LE19-12","GMBOIL_09450","Anabaenopeptin_ctg105"
"LE19-12","GMBOIL_09455","Anabaenopeptin_ctg105"
"LE19-12","GMBOIL_09460","Anabaenopeptin_ctg105"
"LE19-12","GMBOIL_09465","Anabaenopeptin_ctg105"
"LE19-12","GMBOIL_06165","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_06180","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_11425","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_18440","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_21290","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_21295","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_21300","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_21305","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_21310","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_21315","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_21320","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_21325","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_21330","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_21335","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_21340","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_21345","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_21350","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_21355","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_21365","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_21370","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_23135","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_23145","Bartoloside_like_T1PKS_ctg34"
"LE19-12","GMBOIL_00155","Cyanobactin_ctg13"
"LE19-12","GMBOIL_04455","Cyanobactin_ctg13"
"LE19-12","GMBOIL_10150","Cyanobactin_ctg13"
"LE19-12","GMBOIL_10155","Cyanobactin_ctg13"
"LE19-12","GMBOIL_10160","Cyanobactin_ctg13"
"LE19-12","GMBOIL_10165","Cyanobactin_ctg13"
"LE19-12","GMBOIL_10170","Cyanobactin_ctg13"
"LE19-12","GMBOIL_10175","Cyanobactin_ctg13"
"LE19-12","GMBOIL_10180","Cyanobactin_ctg13"
"LE19-12","GMBOIL_16845","Cyanobactin_ctg13"
"LE19-12","GMBOIL_16850","Cyanobactin_ctg13"
"LE19-12","GMBOIL_16855","Cyanobactin_ctg13"
"LE19-12","GMBOIL_16860","Cyanobactin_ctg13"
"LE19-12","GMBOIL_01345","Cyanobactin_ctg39"
"LE19-12","GMBOIL_01350","Cyanobactin_ctg39"
"LE19-12","GMBOIL_02825","Cyanobactin_ctg39"
"LE19-12","GMBOIL_02830","Cyanobactin_ctg39"
"LE19-12","GMBOIL_04460","Cyanobactin_ctg39"
"LE19-12","GMBOIL_12145","Cyanobactin_ctg39"
"LE19-12","GMBOIL_12150","Cyanobactin_ctg39"
"LE19-12","GMBOIL_14835","Cyanobactin_ctg39"
"LE19-12","GMBOIL_14840","Cyanobactin_ctg39"
"LE19-12","GMBOIL_16340","Cyanopeptolin"
"LE19-12","GMBOIL_16345","Cyanopeptolin"
"LE19-12","GMBOIL_16350","Cyanopeptolin"
"LE19-12","GMBOIL_16355","Cyanopeptolin"
"LE19-12","GMBOIL_16360","Cyanopeptolin"
"LE19-12","GMBOIL_16365","Cyanopeptolin"
"LE19-12","GMBOIL_16370","Cyanopeptolin"
"LE19-12","GMBOIL_16375","Cyanopeptolin"
"LE19-12","GMBOIL_16380","Cyanopeptolin"
"LE19-12","GMBOIL_16385","Cyanopeptolin"
"LE19-12","GMBOIL_16390","Cyanopeptolin"
"LE19-12","GMBOIL_16395","Cyanopeptolin"
"LE19-12","GMBOIL_16400","Cyanopeptolin"
"LE19-12","GMBOIL_16405","Cyanopeptolin"
"LE19-12","GMBOIL_16410","Cyanopeptolin"
"LE19-12","GMBOIL_02610","Lanthipeptide_ctg3"
"LE19-12","GMBOIL_04180","Lanthipeptide_ctg3"
"LE19-12","GMBOIL_04190","Lanthipeptide_ctg3"
"LE19-12","GMBOIL_05660","Lanthipeptide_ctg3"
"LE19-12","GMBOIL_08475","Lanthipeptide_ctg3"
"LE19-12","GMBOIL_08480","Lanthipeptide_ctg3"
"LE19-12","GMBOIL_08485","Lanthipeptide_ctg3"
"LE19-12","GMBOIL_18595","Lanthipeptide_ctg3"
"LE19-12","GMBOIL_18600","Lanthipeptide_ctg3"
"LE19-12","GMBOIL_19660","Lanthipeptide_ctg3"
"LE19-12","GMBOIL_19665","Lanthipeptide_ctg3"
"LE19-12","GMBOIL_19670","Lanthipeptide_ctg3"
"LE19-12","GMBOIL_07875","Lanthipeptide_ctg83"
"LE19-12","GMBOIL_07880","Lanthipeptide_ctg83"
"LE19-12","GMBOIL_07885","Lanthipeptide_ctg83"
"LE19-12","GMBOIL_07890","Lanthipeptide_ctg83"
"LE19-12","GMBOIL_16695","Lanthipeptide_ctg83"
"LE19-12","GMBOIL_16700","Lanthipeptide_ctg83"
"LE19-12","GMBOIL_17540","Lanthipeptide_ctg83"
"LE19-12","GMBOIL_17545","Lanthipeptide_ctg83"
"LE19-12","GMBOIL_17555","Lanthipeptide_ctg83"
"LE19-12","GMBOIL_17560","Lanthipeptide_ctg83"
"LE19-12","GMBOIL_20695","Lanthipeptide_ctg83"
"LE19-12","GMBOIL_20700","Lanthipeptide_ctg83"
"LE19-12","GMBOIL_23650","Lanthipeptide_ctg83"
"LE19-12","GMBOIL_04235","LAP_ctg5"
"LE19-12","GMBOIL_04240","LAP_ctg5"
"LE19-12","GMBOIL_04245","LAP_ctg5"
"LE19-12","GMBOIL_04250","LAP_ctg5"
"LE19-12","GMBOIL_04255","LAP_ctg5"
"LE19-12","GMBOIL_04260","LAP_ctg5"
"LE19-12","GMBOIL_04560","LAP_ctg5"
"LE19-12","GMBOIL_04575","LAP_ctg5"
"LE19-12","GMBOIL_07370","LAP_ctg5"
"LE19-12","GMBOIL_07375","LAP_ctg5"
"LE19-12","GMBOIL_08380","LAP_ctg5"
"LE19-12","GMBOIL_08385","LAP_ctg5"
"LE19-12","GMBOIL_08390","LAP_ctg5"
"LE19-12","GMBOIL_08395","LAP_ctg5"
"LE19-12","GMBOIL_08400","LAP_ctg5"
"LE19-12","GMBOIL_12050","LAP_ctg5"
"LE19-12","GMBOIL_13745","LAP_ctg5"
"LE19-12","GMBOIL_13750","LAP_ctg5"
"LE19-12","GMBOIL_13755","LAP_ctg5"
