"ref_genotype","gene_name","bgc_name"
"LE19-195","BHKFFO_01010","1_heptadecene_ctg44"
"LE19-195","BHKFFO_11850","1_heptadecene_ctg44"
"LE19-195","BHKFFO_11855","1_heptadecene_ctg44"
"LE19-195","BHKFFO_11860","1_heptadecene_ctg44"
"LE19-195","BHKFFO_11865","1_heptadecene_ctg44"
"LE19-195","BHKFFO_11895","1_heptadecene_ctg44"
"LE19-195","BHKFFO_05585","Anabaenopeptin_ctg105"
"LE19-195","BHKFFO_05590","Anabaenopeptin_ctg105"
"LE19-195","BHKFFO_05600","Anabaenopeptin_ctg105"
"LE19-195","BHKFFO_01020","Bartoloside_like_T1PKS_ctg34"
"LE19-195","BHKFFO_07225","Bartoloside_like_T1PKS_ctg34"
"LE19-195","BHKFFO_07230","Bartoloside_like_T1PKS_ctg34"
"LE19-195","BHKFFO_07255","Bartoloside_like_T1PKS_ctg34"
"LE19-195","BHKFFO_09175","Bartoloside_like_T1PKS_ctg34"
"LE19-195","BHKFFO_11935","Bartoloside_like_T1PKS_ctg34"
"LE19-195","BHKFFO_11940","Bartoloside_like_T1PKS_ctg34"
"LE19-195","BHKFFO_17645","Bartoloside_like_T1PKS_ctg34"
"LE19-195","BHKFFO_05325","Cyanobactin_ctg13"
"LE19-195","BHKFFO_05330","Cyanobactin_ctg13"
"LE19-195","BHKFFO_05335","Cyanobactin_ctg13"
"LE19-195","BHKFFO_05340","Cyanobactin_ctg13"
"LE19-195","BHKFFO_05345","Cyanobactin_ctg13"
"LE19-195","BHKFFO_05350","Cyanobactin_ctg13"
"LE19-195","BHKFFO_05355","Cyanobactin_ctg13"
"LE19-195","BHKFFO_05360","Cyanobactin_ctg13"
"LE19-195","BHKFFO_05365","Cyanobactin_ctg13"
"LE19-195","BHKFFO_05370","Cyanobactin_ctg13"
"LE19-195","BHKFFO_05375","Cyanobactin_ctg13"
"LE19-195","BHKFFO_05380","Cyanobactin_ctg13"
"LE19-195","BHKFFO_05385","Cyanobactin_ctg13"
"LE19-195","BHKFFO_01775","Cyanobactin_ctg39"
"LE19-195","BHKFFO_01780","Cyanobactin_ctg39"
"LE19-195","BHKFFO_01785","Cyanobactin_ctg39"
"LE19-195","BHKFFO_01790","Cyanobactin_ctg39"
"LE19-195","BHKFFO_01795","Cyanobactin_ctg39"
"LE19-195","BHKFFO_01800","Cyanobactin_ctg39"
"LE19-195","BHKFFO_01805","Cyanobactin_ctg39"
"LE19-195","BHKFFO_01810","Cyanobactin_ctg39"
"LE19-195","BHKFFO_01815","Cyanobactin_ctg39"
"LE19-195","BHKFFO_01820","Cyanobactin_ctg39"
"LE19-195","BHKFFO_01825","Cyanobactin_ctg39"
"LE19-195","BHKFFO_16570","Cyanobactin_ctg39"
"LE19-195","BHKFFO_16575","Cyanobactin_ctg39"
"LE19-195","BHKFFO_16580","Cyanobactin_ctg39"
"LE19-195","BHKFFO_16585","Cyanobactin_ctg39"
"LE19-195","BHKFFO_16590","Cyanobactin_ctg39"
"LE19-195","BHKFFO_17605","Cyanobactin_ctg39"
"LE19-195","BHKFFO_17610","Cyanobactin_ctg39"
"LE19-195","BHKFFO_03475","Lanthipeptide_ctg3"
"LE19-195","BHKFFO_03480","Lanthipeptide_ctg3"
"LE19-195","BHKFFO_04750","Lanthipeptide_ctg3"
"LE19-195","BHKFFO_04845","Lanthipeptide_ctg3"
"LE19-195","BHKFFO_08935","Lanthipeptide_ctg3"
"LE19-195","BHKFFO_08940","Lanthipeptide_ctg3"
"LE19-195","BHKFFO_08945","Lanthipeptide_ctg3"
"LE19-195","BHKFFO_13590","Lanthipeptide_ctg3"
"LE19-195","BHKFFO_03205","Lanthipeptide_ctg83"
"LE19-195","BHKFFO_03220","Lanthipeptide_ctg83"
"LE19-195","BHKFFO_03225","Lanthipeptide_ctg83"
"LE19-195","BHKFFO_03230","Lanthipeptide_ctg83"
"LE19-195","BHKFFO_03235","Lanthipeptide_ctg83"
"LE19-195","BHKFFO_03240","Lanthipeptide_ctg83"
"LE19-195","BHKFFO_03245","Lanthipeptide_ctg83"
"LE19-195","BHKFFO_03250","Lanthipeptide_ctg83"
"LE19-195","BHKFFO_03255","Lanthipeptide_ctg83"
"LE19-195","BHKFFO_05700","LAP_ctg5"
"LE19-195","BHKFFO_05705","LAP_ctg5"
"LE19-195","BHKFFO_06570","LAP_ctg5"
"LE19-195","BHKFFO_06575","LAP_ctg5"
"LE19-195","BHKFFO_06580","LAP_ctg5"
"LE19-195","BHKFFO_06585","LAP_ctg5"
"LE19-195","BHKFFO_06590","LAP_ctg5"
"LE19-195","BHKFFO_06595","LAP_ctg5"
"LE19-195","BHKFFO_08125","MicroviridinB"
"LE19-195","BHKFFO_08130","MicroviridinB"
"LE19-195","BHKFFO_08135","MicroviridinB"
"LE19-195","BHKFFO_08140","MicroviridinB"
"LE19-195","BHKFFO_08145","MicroviridinB"
"LE19-195","BHKFFO_08150","MicroviridinB"
"LE19-195","BHKFFO_08155","MicroviridinB"
"LE19-195","BHKFFO_08160","MicroviridinB"
"LE19-195","BHKFFO_08165","MicroviridinB"
"LE19-195","BHKFFO_08170","MicroviridinB"
"LE19-195","BHKFFO_08175","MicroviridinB"
"LE19-195","BHKFFO_08180","MicroviridinB"
"LE19-195","BHKFFO_08185","MicroviridinB"
"LE19-195","BHKFFO_08190","MicroviridinB"
"LE19-195","BHKFFO_08195","MicroviridinB"
"LE19-195","BHKFFO_00230","Novel_T3PKS_ctg30"
"LE19-195","BHKFFO_00235","Novel_T3PKS_ctg30"
"LE19-195","BHKFFO_00240","Novel_T3PKS_ctg30"
"LE19-195","BHKFFO_00265","Novel_T3PKS_ctg30"
"LE19-195","BHKFFO_00270","Novel_T3PKS_ctg30"
"LE19-195","BHKFFO_00275","Novel_T3PKS_ctg30"
"LE19-195","BHKFFO_02475","Novel_T3PKS_ctg30"
"LE19-195","BHKFFO_02480","Novel_T3PKS_ctg30"
"LE19-195","BHKFFO_02525","Novel_T3PKS_ctg30"
"LE19-195","BHKFFO_05060","Novel_T3PKS_ctg30"
"LE19-195","BHKFFO_05070","Novel_T3PKS_ctg30"
"LE19-195","BHKFFO_09110","NRPS_like_ctg36"
"LE19-195","BHKFFO_09115","NRPS_like_ctg36"
"LE19-195","BHKFFO_09125","NRPS_like_ctg36"
"LE19-195","BHKFFO_09130","NRPS_like_ctg36"
"LE19-195","BHKFFO_09140","NRPS_like_ctg36"
"LE19-195","BHKFFO_14165","NRPS_like_ctg36"
"LE19-195","BHKFFO_17075","NRPS_like_ctg36"
"LE19-195","BHKFFO_00335","T1PKS_ctg71"
"LE19-195","BHKFFO_00340","T1PKS_ctg71"
"LE19-195","BHKFFO_00345","T1PKS_ctg71"
"LE19-195","BHKFFO_08585","T1PKS_ctg71"
"LE19-195","BHKFFO_08590","T1PKS_ctg71"
"LE19-195","BHKFFO_08595","T1PKS_ctg71"
"LE19-195","BHKFFO_08600","T1PKS_ctg71"
"LE19-195","BHKFFO_08605","T1PKS_ctg71"
"LE19-195","BHKFFO_01885","T1PKS_Terpene_ctg27"
"LE19-195","BHKFFO_04850","T1PKS_Terpene_ctg27"
"LE19-195","BHKFFO_08655","T1PKS_Terpene_ctg27"
"LE19-195","BHKFFO_08660","T1PKS_Terpene_ctg27"
"LE19-195","BHKFFO_08665","T1PKS_Terpene_ctg27"
"LE19-195","BHKFFO_08670","T1PKS_Terpene_ctg27"
"LE19-195","BHKFFO_08675","T1PKS_Terpene_ctg27"
"LE19-195","BHKFFO_08680","T1PKS_Terpene_ctg27"
"LE19-195","BHKFFO_08685","T1PKS_Terpene_ctg27"
"LE19-195","BHKFFO_08690","T1PKS_Terpene_ctg27"
"LE19-195","BHKFFO_08700","T1PKS_Terpene_ctg27"
"LE19-195","BHKFFO_08705","T1PKS_Terpene_ctg27"
"LE19-195","BHKFFO_08710","T1PKS_Terpene_ctg27"
"LE19-195","BHKFFO_08715","T1PKS_Terpene_ctg27"
"LE19-195","BHKFFO_13445","T1PKS_Terpene_ctg27"
"LE19-195","BHKFFO_13450","T1PKS_Terpene_ctg27"
"LE19-195","BHKFFO_03545","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03550","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03555","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03560","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03565","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03570","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03575","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03580","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03585","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03590","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03595","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03600","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03605","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03610","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03615","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03620","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03625","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03630","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03635","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03640","T3PKS_Merocyclophane"
"LE19-195","BHKFFO_03645","T3PKS_Merocyclophane"
