Query_gene_name	Query_gene_annotation	Reference_Name_lauren	Reference_Name_antiSMASH	Not_in_Lauren	Not_in_antiSMASH	Both_match	Main_Product	Biosynthetic_Class	Organism	Gene	New_BGC_name	gene_type	pos_in_bgc	core_genes	genes_in_bgc
FMDALA_10060	methyltransferase	AAF00954.1_mcyJ_MicrocystisaeruginosaPCC7806_microcystinLR	ctg409_3	FALSE	FALSE	TRUE	microcystin LR	NRP, Modular type I polyketide	Microcystis aeruginosa PCC 7806	mcyJ	Microcystin LR-Microcystis	additional	2	6	17
FMDALA_10065	dehydrogenase	AAF00955.1_mcyI_MicrocystisaeruginosaPCC7806_microcystinLR	ctg409_4	FALSE	FALSE	TRUE	microcystin LR	NRP, Modular type I polyketide	Microcystis aeruginosa PCC 7806	mcyI	Microcystin LR-Microcystis	additional	3	6	17
FMDALA_10070	ABC transporter	AAF00956.1_mcyH_MicrocystisaeruginosaPCC7806_microcystinLR	ctg409_5	FALSE	FALSE	TRUE	microcystin LR	NRP, Modular type I polyketide	Microcystis aeruginosa PCC 7806	mcyH	Microcystin LR-Microcystis	transport	4	6	17
FMDALA_10075	beta-ketoacyl synthase	AAF00957.1_mcyG_MicrocystisaeruginosaPCC7806_microcystinLR	ctg409_6	FALSE	FALSE	TRUE	microcystin LR	NRP, Modular type I polyketide	Microcystis aeruginosa PCC 7806	mcyG	Microcystin LR-Microcystis	core	5	6	17
FMDALA_10085	non-ribosomal peptide synthetase	AAF00958.1_mcyE_MicrocystisaeruginosaPCC7806_microcystinLR	ctg409_8	FALSE	FALSE	TRUE	microcystin LR	NRP, Modular type I polyketide	Microcystis aeruginosa PCC 7806	mcyE	Microcystin LR-Microcystis	core	7	6	17
FMDALA_10090	Acyl transferase domain in polyketide synthase (PKS) enzymes	AAF00959.1_mcyD_MicrocystisaeruginosaPCC7806_microcystinLR	ctg409_9	FALSE	FALSE	TRUE	microcystin LR	NRP, Modular type I polyketide	Microcystis aeruginosa PCC 7806	mcyD	Microcystin LR-Microcystis	core	8	6	17
FMDALA_10100	Nonribosomal peptide synthetase McyB	AAF00961.1_mcyB_MicrocystisaeruginosaPCC7806_microcystinLR	ctg409_11	FALSE	FALSE	TRUE	microcystin LR	NRP, Modular type I polyketide	Microcystis aeruginosa PCC 7806	mcyB	Microcystin LR-Microcystis	core	10	6	17
FMDALA_10105	non-ribosomal peptide synthetase	AAF00962.1_mcyC_MicrocystisaeruginosaPCC7806_microcystinLR	ctg409_12	FALSE	FALSE	TRUE	microcystin LR	NRP, Modular type I polyketide	Microcystis aeruginosa PCC 7806	mcyC	Microcystin LR-Microcystis	core	11	6	17
FMDALA_10080	aspartate/glutamate racemase family protein	AAF00963.1_mcyF_MicrocystisaeruginosaPCC7806_microcystinLR	ctg409_7	FALSE	FALSE	TRUE	microcystin LR	NRP, Modular type I polyketide	Microcystis aeruginosa PCC 7806	mcyF	Microcystin LR-Microcystis	other	6	6	17
FMDALA_10110	FAD-dependent oxidoreductase	AAF00964.1_uma1_MicrocystisaeruginosaPCC7806_microcystinLR	ctg409_13	FALSE	FALSE	TRUE	microcystin LR	NRP, Modular type I polyketide	Microcystis aeruginosa PCC 7806	uma1	Microcystin LR-Microcystis	other	12	6	17
FMDALA_10115	Putative restriction endonuclease	AAF00965.1_uma2_MicrocystisaeruginosaPCC7806_microcystinLR	ctg409_14	FALSE	FALSE	TRUE	microcystin LR	NRP, Modular type I polyketide	Microcystis aeruginosa PCC 7806	uma2	Microcystin LR-Microcystis	other	13	6	17
FMDALA_10120	adenylyl-sulfate kinase	AAF00966.1_uma3_MicrocystisaeruginosaPCC7806_microcystinLR	ctg409_15	FALSE	FALSE	TRUE	microcystin LR	NRP, Modular type I polyketide	Microcystis aeruginosa PCC 7806	uma3	Microcystin LR-Microcystis	other	14	6	17
FMDALA_11045	transposase	AAF00967.1_uma4_MicrocystisaeruginosaPCC7806_microcystinLR	NA	FALSE	TRUE	FALSE	microcystin LR	NRP, Modular type I polyketide	Microcystis aeruginosa PCC 7806	uma4	Microcystin LR-Microcystis	other	15	6	17
FMDALA_21620	DUF6014 domain-containing protein	AAZ03548.1_mcnG_Microcystissp.NIVA-CYA172/5_cyanopeptolin	NA	FALSE	TRUE	FALSE	cyanopeptolin	NRP	Microcystis sp. NIVA-CYA 172/5	mcnG	Cyanopeptolin-Microcystis	other	1	4	7
FMDALA_21615	ABC transporter	AAZ03549.1_mcnF_Microcystissp.NIVA-CYA172/5_cyanopeptolin	NA	FALSE	TRUE	FALSE	cyanopeptolin	NRP	Microcystis sp. NIVA-CYA 172/5	mcnF	Cyanopeptolin-Microcystis	transport	2	4	7
FMDALA_09345	Carrier domain-containing protein	ABI26077.1_ociA_PlanktothrixagardhiiNIVA-CYA116_cyanopeptolin	ctg29_2	FALSE	FALSE	TRUE	cyanopeptolin	NRP	Planktothrix agardhii NIVA-CYA 116	ociA	Cyanopeptolin-Planktothrix	core	2	3	4
FMDALA_20245	Tyrocidine synthase 3	ABI26078.1_ociB_PlanktothrixagardhiiNIVA-CYA116_cyanopeptolin	ctg88_25	FALSE	FALSE	TRUE	cyanopeptolin	NRP	Planktothrix agardhii NIVA-CYA 116	ociB	Cyanopeptolin-Planktothrix	core	3	3	4
FMDALA_03670	peptide synthetase	ACM68682.1_aerA_MicrocystisaeruginosaNIES-98_aeruginosin98-A,aeruginosin98-B,aeruginosin98-C	ctg225_3	FALSE	FALSE	TRUE	aeruginosin 98-A, aeruginosin 98-B, aeruginosin 98-C	NRP	Microcystis aeruginosa NIES-98	aerA	Aeruginosin-Microcystis	core	1	3	14
FMDALA_10760	type 2 isopentenyl-diphosphate Delta-isomerase	ACM68685.1_aerK_MicrocystisaeruginosaNIES-98_aeruginosin98-A,aeruginosin98-B,aeruginosin98-C	ctg266_2	FALSE	FALSE	TRUE	aeruginosin 98-A, aeruginosin 98-B, aeruginosin 98-C	NRP	Microcystis aeruginosa NIES-98	aerK	Aeruginosin-Microcystis	other	4	3	14
FMDALA_10765	bacilysin biosynthesis protein BacA	ACM68686.1_aerD_MicrocystisaeruginosaNIES-98_aeruginosin98-A,aeruginosin98-B,aeruginosin98-C	ctg266_3	FALSE	FALSE	TRUE	aeruginosin 98-A, aeruginosin 98-B, aeruginosin 98-C	NRP	Microcystis aeruginosa NIES-98	aerD	Aeruginosin-Microcystis	other	5	3	14
