Query_gene_name	Query_gene_annotation	Reference_Name_lauren	Reference_Name_antiSMASH	Not_in_Lauren	Not_in_antiSMASH	Both_match	Main_Product	Biosynthetic_Class	Organism	Gene	New_BGC_name	gene_type	pos_in_bgc	core_genes	genes_in_bgc
OCDKLD_00255	bleomycin resistance protein	ctg82_15_T3PKS-Merocyclophane_5_0	ctg6_1	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_15	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	15	4	37
OCDKLD_00260	nitroreductase family protein	ctg82_16_T3PKS-Merocyclophane_5_0	ctg6_2	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_16	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	additional	16	4	37
OCDKLD_00265	AMP-binding enzyme family protein	ctg82_17_T3PKS-Merocyclophane_5_0	ctg6_3	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_17	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	core	17	4	37
OCDKLD_00270	short chain dehydrogenase	ctg82_18_T3PKS-Merocyclophane_5_0	ctg6_4	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_18	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	core	18	4	37
OCDKLD_00275	type I polyketide synthase	ctg82_19_T3PKS-Merocyclophane_5_0	ctg6_5	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_19	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	core	19	4	37
OCDKLD_00280	flavin-binding monooxygenase-like family protein	ctg82_20_T3PKS-Merocyclophane_5_0	ctg6_6	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_20	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	additional	20	4	37
OCDKLD_00285	3-oxoacyl-ACP synthase	ctg82_21_T3PKS-Merocyclophane_5_0	ctg6_7	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_21	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	core	21	4	37
OCDKLD_00290	isoprenylcysteine carboxyl methyltransferase	ctg82_22_T3PKS-Merocyclophane_5_0	ctg6_8	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_22	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	additional	22	4	37
OCDKLD_00295	FAD-linked oxidase	ctg82_23_T3PKS-Merocyclophane_5_0	ctg6_9	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_23	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	23	4	37
OCDKLD_00300	MFS transporter	ctg82_24_T3PKS-Merocyclophane_5_0	ctg6_10	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_24	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	24	4	37
OCDKLD_00305	efflux RND transporter periplasmic adaptor subunit	ctg82_25_T3PKS-Merocyclophane_5_0	ctg6_11	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_25	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	transport	25	4	37
OCDKLD_00310	acriflavine resistance protein B	ctg82_26_T3PKS-Merocyclophane_5_0	ctg6_12	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_26	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	transport	26	4	37
OCDKLD_00315	Secreted effector protein PipB2	ctg82_27_T3PKS-Merocyclophane_5_0	ctg6_13	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_27	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	27	4	37
OCDKLD_00320	hypothetical protein	ctg82_28_T3PKS-Merocyclophane_5_0	ctg6_14	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_28	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	28	4	37
OCDKLD_00325	Phosphomannomutase	NA	ctg6_15	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_00330	Phosphomannomutase	NA	ctg6_16	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_00335	Phosphomannomutase	ctg82_29_T3PKS-Merocyclophane_5_0	ctg6_17	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_29	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	29	4	37
OCDKLD_00340	serine/threonine protein kinase	ctg82_30_T3PKS-Merocyclophane_5_0	ctg6_18	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_30	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	regulatory	30	4	37
OCDKLD_00345	rhodanese-related sulfurtransferase	ctg82_31_T3PKS-Merocyclophane_5_0	ctg6_19	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_31	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	31	4	37
OCDKLD_00355	DNA repair protein RecO	ctg82_32_T3PKS-Merocyclophane_5_0	ctg6_20	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_32	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	other	32	4	37
OCDKLD_00360	arabinose efflux permease	ctg82_33_T3PKS-Merocyclophane_5_0	ctg6_21	FALSE	FALSE	TRUE	T3PKS-Merocyclophane	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg82_33	T3PKS-Merocyclophane-Microcystis aeruginosa WLECC	transport	33	4	37
OCDKLD_00785	"3'(2'),5'-bisphosphate nucleotidase CysQ"	ctg27_41_T1PKS-Terpene_11_0	NA	FALSE	TRUE	FALSE	T1PKS-Terpene	Hybrid	Microcystis aeruginosa WLECC	ctg27_41	T1PKS-Terpene-Microcystis aeruginosa WLECC	additional	41	2	42
OCDKLD_01760	hypothetical protein	ctg20_11_NRPS-T1PKS_26_0	NA	FALSE	TRUE	FALSE	NRPS-T1PKS	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg20_11	NRPS-T1PKS-Microcystis aeruginosa WLECC	other	11	3	15
OCDKLD_01785	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	ctg83_20_lanthipeptide_21_0	NA	FALSE	TRUE	FALSE	lanthipeptide	Lanthipeptide	Microcystis aeruginosa WLECC	ctg83_20	lanthipeptide-Microcystis aeruginosa WLECC	other	20	2	25
OCDKLD_01990	DUF1995 domain-containing protein	ctg105_6_Anabaenopeptin_16_0	NA	FALSE	TRUE	FALSE	Anabaenopeptin	NRP	Microcystis aeruginosa WLECC	ctg105_6	Anabaenopeptin-Microcystis aeruginosa WLECC	other	6	5	16
OCDKLD_01995	hypothetical protein	ctg105_5_Anabaenopeptin_16_0	NA	FALSE	TRUE	FALSE	Anabaenopeptin	NRP	Microcystis aeruginosa WLECC	ctg105_5	Anabaenopeptin-Microcystis aeruginosa WLECC	other	5	5	16
OCDKLD_02005	flavin oxidoreductase	ctg105_3_Anabaenopeptin_16_0	NA	FALSE	TRUE	FALSE	Anabaenopeptin	NRP	Microcystis aeruginosa WLECC	ctg105_3	Anabaenopeptin-Microcystis aeruginosa WLECC	additional	3	5	16
OCDKLD_02010	Phosphate-starvation-inducible E family	ctg105_2_Anabaenopeptin_16_0	NA	FALSE	TRUE	FALSE	Anabaenopeptin	NRP	Microcystis aeruginosa WLECC	ctg105_2	Anabaenopeptin-Microcystis aeruginosa WLECC	other	2	5	16
OCDKLD_02320	SnoaL-like domain-containing protein	ctg105_7_Anabaenopeptin_16_0	ctg36_1	FALSE	FALSE	TRUE	Anabaenopeptin	NRP	Microcystis aeruginosa WLECC	ctg105_7	Anabaenopeptin-Microcystis aeruginosa WLECC	additional	7	5	16
OCDKLD_02325	histidinol-phosphate transaminase	ctg105_8_Anabaenopeptin_16_0	ctg36_2	FALSE	FALSE	TRUE	Anabaenopeptin	NRP	Microcystis aeruginosa WLECC	ctg105_8	Anabaenopeptin-Microcystis aeruginosa WLECC	additional	8	5	16
OCDKLD_02330	ABC transporter	"ABV79989.1_apnE_PlanktothrixagardhiiNIVA-CYA126/8_anabaenopeptin908,anabaenopeptin915"	ctg36_3	FALSE	FALSE	TRUE	"anabaenopeptin 908, anabaenopeptin 915"	NRP	Planktothrix agardhii NIVA-CYA 126/8	apnE	Anabaenopeptin-Planktothrix	transport	5	4	5
OCDKLD_02335	non-ribosomal peptide synthetase	ctg105_10_Anabaenopeptin_16_0	ctg36_4	FALSE	FALSE	TRUE	Anabaenopeptin	NRP	Microcystis aeruginosa WLECC	ctg105_10	Anabaenopeptin-Microcystis aeruginosa WLECC	core	10	5	16
OCDKLD_02340	D-alanine--poly(phosphoribitol) ligase subunit DltA	ctg105_11_Anabaenopeptin_16_0	ctg36_5	FALSE	FALSE	TRUE	Anabaenopeptin	NRP	Microcystis aeruginosa WLECC	ctg105_11	Anabaenopeptin-Microcystis aeruginosa WLECC	core	11	5	16
OCDKLD_02345	non-ribosomal peptide synthetase	ctg105_12_Anabaenopeptin_16_0	ctg36_6	FALSE	FALSE	TRUE	Anabaenopeptin	NRP	Microcystis aeruginosa WLECC	ctg105_12	Anabaenopeptin-Microcystis aeruginosa WLECC	core	12	5	16
OCDKLD_02350	D-alanine--poly(phosphoribitol) ligase subunit DltA	ctg105_13_Anabaenopeptin_16_0	ctg36_7	FALSE	FALSE	TRUE	Anabaenopeptin	NRP	Microcystis aeruginosa WLECC	ctg105_13	Anabaenopeptin-Microcystis aeruginosa WLECC	core	13	5	16
OCDKLD_02355	2-isopropylmalate synthase	ctg105_14_Anabaenopeptin_16_0	ctg36_8	FALSE	FALSE	TRUE	Anabaenopeptin	NRP	Microcystis aeruginosa WLECC	ctg105_14	Anabaenopeptin-Microcystis aeruginosa WLECC	core	14	5	16
OCDKLD_02360	3-isopropylmalate dehydrogenase	ctg105_15_Anabaenopeptin_16_0	ctg36_9	FALSE	FALSE	TRUE	Anabaenopeptin	NRP	Microcystis aeruginosa WLECC	ctg105_15	Anabaenopeptin-Microcystis aeruginosa WLECC	other	15	5	16
OCDKLD_02365	homoaconitate hydratase family protein	ctg105_16_Anabaenopeptin_16_0	ctg36_10	FALSE	FALSE	TRUE	Anabaenopeptin	NRP	Microcystis aeruginosa WLECC	ctg105_16	Anabaenopeptin-Microcystis aeruginosa WLECC	other	16	5	16
OCDKLD_02370	hypothetical protein	NA	ctg36_11	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_02380	1-acyl-sn-glycerol-3-phosphate acyltransferase	NA	ctg36_12	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_02385	hypothetical protein	NA	ctg36_14	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_02390	adenosylcobinamide-phosphate synthase CbiB	NA	ctg36_15	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_02395	GFA family protein	NA	ctg36_16	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_02400	transcriptional regulator	NA	ctg36_17	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_02405	AbrB family transcriptional regulator	NA	ctg36_18	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_02410	SIMPL domain-containing protein	NA	ctg36_19	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_02415	phosphopyruvate hydratase	NA	ctg36_20	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_02420	DUF3887 domain-containing protein	NA	ctg36_21	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_02425	glycogen debranching protein GlgX	NA	ctg36_22	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_02430	DUF4351 domain-containing protein	NA	ctg36_23	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_02435	hypothetical protein	ctg5_31_RRE-containing_23_0	NA	FALSE	TRUE	FALSE	RRE-containing	RRE	Microcystis aeruginosa WLECC	ctg5_31	LAP-Microcystis aeruginosa WLECC	transport	31	1	33
OCDKLD_02440	ABC transporter substrate-binding protein	ctg5_30_RRE-containing_23_0	NA	FALSE	TRUE	FALSE	RRE-containing	RRE	Microcystis aeruginosa WLECC	ctg5_30	LAP-Microcystis aeruginosa WLECC	other	30	1	33
OCDKLD_02445	ABC transporter permease	ctg5_29_RRE-containing_23_0	NA	FALSE	TRUE	FALSE	RRE-containing	RRE	Microcystis aeruginosa WLECC	ctg5_29	LAP-Microcystis aeruginosa WLECC	transport	29	1	33
OCDKLD_02505	type II toxin-antitoxin system HicB family antitoxin	ctg5_19_RRE-containing_23_0	NA	FALSE	TRUE	FALSE	RRE-containing	RRE	Microcystis aeruginosa WLECC	ctg5_19	LAP-Microcystis aeruginosa WLECC	other	19	1	33
OCDKLD_04105	5S ribosomal RNA	ctg44_1_1-heptadecene_20_0	NA	FALSE	TRUE	FALSE	1-heptadecene	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg44_1	1-heptadecene-Microcystis aeruginosa WLECC	other	1	1	18
OCDKLD_04110	DUF2288 domain-containing protein	ctg44_2_1-heptadecene_20_0	ctg57_6	FALSE	FALSE	TRUE	1-heptadecene	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg44_2	1-heptadecene-Microcystis aeruginosa WLECC	other	2	1	18
OCDKLD_04115	beta-ketoacyl synthase	NA	ctg57_8	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_04120	8-amino-7-oxononanoate synthase	NA	ctg57_9	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_04125	short-chain dehydrogenase	NA	ctg57_10	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_04130	hypothetical protein	NA	ctg57_11	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_04135	hypothetical protein	NA	ctg57_12	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_04140	"Sap, sulfolipid-1-addressing protein"	NA	ctg57_13	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_04145	TetR/AcrR family transcriptional regulator	NA	ctg57_14	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OCDKLD_04150	Type I secretion system membrane fusion protein PrsE	ctg44_5_1-heptadecene_20_0	ctg57_15	FALSE	FALSE	TRUE	1-heptadecene	"NRP, Polyketide"	Microcystis aeruginosa WLECC	ctg44_5	1-heptadecene-Microcystis aeruginosa WLECC	transport	5	1	18
